Date,AAPL,AMZN,CAT,JNJ,JPM,KO,MSFT,UNH,V,XOM,^GSPC
2025-03-12,216.03842163085938,198.88999938964844,333.54058837890625,158.43568420410156,223.3208770751953,67.93568420410156,380.3581237792969,467.9155578613281,330.3675231933594,105.50492858886719,5599.2998046875
2025-03-13,208.77008056640625,193.88999938964844,328.7860107421875,158.5718994140625,220.66534423828125,67.6248550415039,375.8923034667969,468.3143310546875,326.109375,105.06021118164062,5521.52001953125
2025-03-14,212.56356811523438,197.9499969482422,335.0301208496094,158.39675903320312,227.7696533203125,67.67377471923828,385.6079406738281,475.248779296875,329.335205078125,108.18292236328125,5638.93994140625
2025-03-17,213.07135009765625,195.74000549316406,337.9894104003906,158.4259490966797,229.22972106933594,68.6131362915039,385.74688720703125,485.3343811035156,332.0647888183594,109.98113250732422,5675.1201171875
2025-03-18,211.7670440673828,192.82000732421875,332.1398620605469,159.7977294921875,230.24884033203125,67.8890380859375,380.6062316894531,489.9833068847656,332.2831726074219,109.86510467529297,5614.66015625
2025-03-19,214.30596923828125,195.5399932861328,334.0239562988281,158.5718994140625,234.30564880371094,67.79118347167969,384.8735656738281,489.3998107910156,337.34527587890625,111.5763168334961,5675.2900390625
2025-03-20,213.17091369628906,194.9499969482422,331.6861267089844,158.60105895996094,234.2076416015625,68.21194458007812,383.9010314941406,497.2776184082031,336.97802734375,112.05004119873047,5662.89013671875
2025-03-21,217.3228302001953,196.2100067138672,331.2225036621094,159.19454956054688,236.77500915527344,67.19429779052734,388.2873840332031,502.67535400390625,333.1665954589844,111.663330078125,5667.56005859375
2025-03-24,219.7721405029297,203.25999450683594,337.03253173828125,158.86373901367188,243.0758056640625,67.4682846069336,390.09356689453125,502.33502197265625,341.3155822753906,111.953369140625,5767.56982421875
2025-03-25,222.77903747558594,205.7100067138672,337.96966552734375,156.65528869628906,246.08412170410156,67.33129119873047,392.1578063964844,499.3492126464844,342.05999755859375,112.71710968017578,5776.64990234375
2025-03-26,220.56866455078125,201.1300048828125,336.48016357421875,157.3363037109375,245.9861297607422,68.51528930664062,387.0072326660156,503.9884033203125,341.623291015625,114.34130859375,5712.2001953125
