Date,AAPL,AMZN,CAT,JNJ,JPM,KO,MSFT,UNH,V,XOM,^GSPC
2025-03-13,-0.03422271635173199,-0.02546092021137873,-0.014357446362527641,0.0008593814494251579,-0.011962373498226618,-0.0045858434770813415,-0.011810564497453059,0.0008518702985147186,-0.01297291016381794,-0.004224042678209806,-0.013988366806464148
2025-03-14,0.018007534266819177,0.020723473340341268,0.01881332489468323,-0.0011050960024965146,0.031687551437194546,0.0007231363680869497,0.02551848014629073,0.014698694799666963,0.009843261267130607,0.02928989434563878,0.02104290595319694
2025-03-17,0.002385998899966654,-0.011227182074080659,0.008794124048814496,0.00018426749604815806,0.006389823700883481,0.013785277560825992,0.00036026619574727736,0.020999686137532895,0.008254004421822649,0.016485308445510632,0.0063956349746060355
2025-03-18,-0.00614026484512594,-0.015030126840267754,-0.0174584133424905,0.008621538778780913,0.004435989051468157,-0.01060942803138637,-0.013416093695738431,0.00953322398892296,0.0006574379981830749,-0.0010555363083848631,-0.010710667074319702
2025-03-19,0.011917934923602554,0.014007778521538292,0.005656564376777954,-0.007700710272332658,0.01746581593798688,-0.0014424302982532539,0.011149551447065257,-0.0011915585479410347,0.015119428436503091,0.015455520561205624,0.010740608172953766
2025-03-20,-0.005310501011020059,-0.0030218279679656837,-0.007023595586460586,0.00018387157675782745,-0.0004183753399748584,0.006187540784560259,-0.002530090619708565,0.015968694096409202,-0.0010892358894044815,0.00423675525567827,-0.002187283513782985
2025-03-21,0.0192896891221074,0.006442448675219972,-0.001398754221093395,0.003735050294189334,0.01090228261809881,-0.015031300363323835,0.011360957067282825,0.0107960837608746,-0.011375075923903558,-0.003457205115376915,0.0008243136078323211
2025-03-24,0.011207339840889797,0.03530037223454001,0.01738909299874063,-0.0020801889342223117,0.02626299037849471,0.00406924016457583,0.004640879510053967,-0.0006772707076349266,0.024164858984056767,0.002594074826773888,0.01749211712863917
2025-03-25,0.01358913226042406,0.011981521917604297,0.0027766854536645093,-0.013999069405443884,0.012300083467542144,-0.0020325502442763714,0.005277700657096239,-0.00596159561287027,0.0021786426077156293,0.006798788033523635,0.0015730954906538206
2025-03-26,-0.009971366623139497,-0.022515953159889142,-0.0044169464071709165,0.004337798202089369,-0.000398284368392681,0.01743184237777143,-0.013220944205326898,0.00924758259047131,-0.0012775114140140486,0.014306684855933383,-0.011219640357598032
2025-03-27,0.01041825161761037,0.001142864416179142,-0.005320327472673621,0.008681085669945236,-0.01166002369827981,0.01023017843158872,0.001562952027639864,-0.004797409507575314,0.016368241150170038,-0.0032181024089702357,-0.0033124610071321114
2025-03-28,-0.026940077618821858,-0.043855989217514546,-0.02873191061385984,0.003549185557248324,-0.021468391143226545,-0.005243986455378802,-0.030624504313062968,0.0006203487161994375,-0.020240100396358377,-0.001358126622627004,-0.019934601126853548
2025-03-31,0.019226604139278056,-0.012846835734262254,0.00033353888582130696,0.01292672525069427,0.01003797847332681,0.017607313941318252,-0.009042798662691783,0.014830273657424323,0.021953537375382647,0.010141173196693207,0.005523240357645722
2025-04-01,0.004760651082845126,0.00998885850959942,0.002332036789897735,-0.07895283967786416,-0.0067081081943229206,0.0034844772516494354,0.017952420337894296,-0.0012036668958659736,-0.011796661205836723,0.000924553580794,0.0037741045552120668
2025-04-02,0.003131424661602211,0.019785262896236874,0.012296648495756565,0.013674366889322026,0.008825718429451134,-0.007541841304350536,-0.00013083737062266458,0.00015300402989441606,-5.7880624601372754e-05,-0.0031131270127732827,0.006705661429484109
2025-04-03,-0.09701333996766047,-0.0940813573992858,-0.09031454183969884,0.028303421186783664,-0.07223218249545858,0.025605129558690907,-0.023913833417961234,0.032419797373634686,-0.02024213574619455,-0.05401561134024333,-0.04960591182899663
2025-04-04,-0.07568027827730078,-0.04242073641032032,-0.059562374022539506,-0.04204298212488435,-0.07778681572685915,-0.04542744781387238,-0.036213731617084785,-0.0288902376285153,-0.08053139657277472,-0.07467607303020289,-0.061609061898230934
2025-04-07,-0.037425944633356655,0.024606997782102066,-0.028234310841177078,-0.017245419798023704,0.019590044385917466,-0.022560579555398128,-0.00551766434398834,-0.0006666300449363583,-0.0025900466645690707,-0.013508405327559037,-0.0023341946059635883
2025-04-08,-0.051101834349552816,-0.026597259717812963,-0.022094621845104755,-0.004124719750020538,0.011268053355503566,0.0007309604349438853,-0.009264363770246512,0.05267598925316492,-0.013052422790774577,-0.021305663857929844,-0.015825083277054855
2025-04-09,0.142617325001121,0.11312358861813517,0.09423435490540409,0.006445977620064329,0.07747496067686607,0.02211545524042498,0.09652491629933924,0.04493585276046322,0.07545329764669818,0.04870983858266264,0.09089487983303646
2025-04-10,-0.043318609189966585,-0.053085113655140896,-0.04016337705857841,-0.01521767120263651,-0.03133851952254282,0.011513302753602113,-0.023684844925189973,0.027113918883055338,-0.023804827502437658,-0.05708057648293352,-0.03522060702411168
2025-04-11,0.039792166818567336,0.019941079422269643,0.014727129100959524,0.02023902578149351,0.039244340731231606,0.009424074337325934,0.01844693429465891,0.008493356644030715,0.026718408264382074,0.0316173491962206,0.01793038083577807
2025-04-14,0.021814363470558026,-0.014987065296594422,0.01578866213180245,0.017184954539057103,-0.006285533382187642,0.014178568409815274,-0.0016489173349667403,-0.020918769515196882,0.005324845068349384,0.0024209176130043555,0.007913319326342991
2025-04-15,-0.0018782257100493861,-0.013989329016472998,-0.015856875585113856,-0.004805510304909648,-0.006797044721379679,-0.008176711860796817,-0.005377916425242271,-0.005928314589792416,0.0018777782124391937,-0.0028089129949872907,-0.001729275225300909
2025-04-16,-0.039711573569180425,-0.029726389380639047,-0.011275495031720727,0.0018859683568011746,-0.015214021368339308,-0.002508017983629657,-0.03729281302681963,0.0024812955758125596,-0.013430654289833066,0.010516864760861763,-0.022663253964902527
2025-04-17,0.013853268725293778,-0.00991534732389348,0.01406612502784088,0.022866953531641306,0.010182745118394206,0.018247565912604086,-0.01035998901106052,-0.25334068635127766,-0.0052047871401843075,0.0258646389804662,0.0013259586237727749
2025-04-21,-0.01958340890990623,-0.031126527586896723,-0.028049804893739712,-0.003498768196029263,-0.012886617567918446,-0.003155689200994184,-0.02382817434631872,-0.06547408119610079,-0.029276521242451652,-0.014792725560840079,-0.02384964833401801
2025-04-22,0.033497849623206295,0.03442328337941731,0.022330785567689238,0.005275338510240561,0.028414574566273765,0.015409101444004935,0.02121461304857907,0.004340038029652647,0.034692488927197555,0.027617067706951832,0.02480695212545062
2025-04-23,0.024040195270372565,0.041953201051518486,0.015674852845853425,-0.015137660536435693,0.022205936204368833,-0.008152200493512809,0.020426836894573197,0.0018243304954862806,0.00892224278488135,-0.008624355504919015,0.016523864366879457
